timestamp,neck_deg,ear_deg,shoulder_y,label
1767480467.473233,1.023030161857605,31.39543914794922,633.5,neutral
1767480467.5056598,0.7707487344741821,31.397554397583008,633.5,neutral
1767480467.5375519,0.7707487344741821,31.462766647338867,632.5,neutral
1767480467.570789,0.7707487344741821,31.466445922851562,632.5,neutral
1767480467.604286,0.7707487344741821,31.641868591308594,632.5,neutral
1767480467.637825,0.7707487344741821,31.641868591308594,632.5,neutral
1767480467.670923,0.7707487344741821,31.652997970581055,632.0,neutral
1767480467.704553,0.7742201685905457,31.697778701782227,632.0,neutral
1767480467.7398882,1.023030161857605,31.732479095458984,632.0,neutral
1767480467.773199,1.023030161857605,31.741071701049805,631.5,neutral
1767480467.806746,1.0322446823120117,31.741071701049805,631.5,neutral
1767480467.84005,1.5481576919555664,31.74549674987793,631.5,neutral
1767480467.873348,2.32153058052063,31.7812442779541,631.0,neutral
1767480467.904761,2.836660146713257,31.7812442779541,630.5,neutral
1767480467.9402602,3.608468770980835,31.798233032226562,630.0,neutral
1767480467.9737852,3.8654611110687256,31.798233032226562,629.5,neutral
1767480468.008414,3.8654611110687256,31.83873748779297,630.0,neutral
1767480468.044649,3.8654611110687256,31.908445358276367,630.0,neutral
1767480468.076135,3.8654611110687256,31.908445358276367,630.0,neutral
1767480468.1078598,3.8654611110687256,31.953929901123047,630.0,neutral
1767480468.137221,3.8654611110687256,32.034523010253906,630.5,neutral
1767480468.171294,3.8654611110687256,32.11145782470703,630.5,neutral
1767480468.2068381,3.8654611110687256,32.11145782470703,631.0,neutral
1767480468.240575,3.094058036804199,32.11145782470703,631.0,neutral
1767480468.27333,2.602562189102173,32.11145782470703,631.0,neutral
1767480468.306574,2.602562189102173,32.11145782470703,631.0,neutral
1767480468.339678,2.602562189102173,32.11145782470703,631.0,neutral
1767480468.373448,2.602562189102173,32.11145782470703,631.0,neutral
1767480468.4071941,2.602562189102173,32.11145782470703,631.0,neutral
1767480468.440415,2.602562189102173,32.11145782470703,631.0,neutral
1767480468.473551,2.602562189102173,32.01885986328125,631.0,neutral
1767480468.5071821,2.602562189102173,32.00497055053711,631.0,neutral
1767480468.540148,2.6144297122955322,31.90504264831543,630.5,neutral
1767480468.573206,2.6144297122955322,31.846168518066406,630.0,neutral
1767480468.6049652,2.6144297122955322,31.824705123901367,630.0,neutral
1767480468.6379242,2.6144297122955322,31.76862144470215,629.5,neutral
1767480468.671437,2.6144297122955322,31.744110107421875,629.0,neutral
1767480468.7050781,2.626405715942383,31.744110107421875,628.5,neutral
1767480468.740821,2.6506896018981934,31.744110107421875,629.0,neutral
1767480468.7741902,2.6506896018981934,31.744110107421875,629.0,neutral
1767480468.807147,2.6506896018981934,31.744110107421875,629.0,neutral
1767480468.840523,2.6506896018981934,31.744110107421875,629.0,neutral
1767480468.871406,2.6506896018981934,31.744110107421875,629.0,neutral
1767480468.905191,2.6506896018981934,31.744110107421875,629.0,neutral
1767480468.938038,2.6506896018981934,31.744110107421875,629.5,neutral
1767480468.971692,2.6506896018981934,31.744537353515625,631.0,neutral
